,lipid,fc,p,Sex1,Sex2
46,LCER(14:0)+H,1.0001813226680096,0.9899417525395713,M,F
47,LCER(16:0)+H,1.0059498822386956,0.72154195652656,M,F
48,LCER(18:0)+H,1.0105045780865898,0.5491418017868865,M,F
49,LCER(26:1)+H,1.0184389869750536,0.498644319295232,M,F
50,LCER(d18:0_20:0)+H,1.0357941462902065,0.1608235151974758,M,F
51,TAG(44:1_FA16:1)+NH4,0.9677786305065458,0.4898612471821815,M,F
52,TAG(44:2_FA16:1)+NH4,1.00638557403474,0.8862975003418303,M,F
53,TAG(44:3_FA18:2)+NH4,0.9496876255402389,0.32349485612970363,M,F
54,TAG(45:1_FA16:0)+NH4,0.9428261458605671,0.2726292521049905,M,F
55,TAG(46:0_FA18:0)+NH4,1.0003838691670914,0.9938904494315557,M,F
56,TAG(46:1_FA18:1)+NH4,0.9822085570983392,0.7489479688784243,M,F
57,TAG(46:2_FA16:1)+NH4,0.990812567412278,0.8606542766622864,M,F
58,TAG(46:2_FA18:1)+NH4,1.0212547564466237,0.6569872121587197,M,F
59,TAG(46:2_FA18:2)+NH4,1.0240250692855042,0.6731239655908523,M,F
60,TAG(46:3_FA16:1)+NH4,0.9190700988409248,0.10099731117091808,M,F
61,TAG(46:3_FA18:1)+NH4,1.01208485258029,0.8641610709256408,M,F
62,TAG(46:3_FA18:2)+NH4,1.0077411295187289,0.9018681480393047,M,F
63,TAG(46:3_FA18:3)+NH4,1.062497069622983,0.3104936171876743,M,F
64,TAG(46:4_FA18:2)+NH4,1.1163350646656178,0.05009410290499111,M,F
65,TAG(47:0_FA17:0)+NH4,0.9757168955106911,0.6119513292937944,M,F
66,TAG(47:1_FA17:0)+NH4,0.9667636190232141,0.4493623066968777,M,F
67,TAG(48:1_FA14:0)+NH4,0.9782624305563308,0.7234421707311927,M,F
68,TAG(48:1_FA16:0)+NH4,1.0450670243628482,0.1382546530201383,M,F
69,TAG(48:1_FA16:1)+NH4,1.062369075426998,0.2812456234147005,M,F
70,TAG(48:2_FA14:0)+NH4,1.027313744781355,0.5666342940408715,M,F
71,TAG(48:2_FA16:1)+NH4,0.9524543749475364,0.2776887579616779,M,F
72,TAG(48:3_FA14:0)+NH4,0.9821906014353086,0.7529863809402841,M,F
73,TAG(48:3_FA16:1)+NH4,0.958962199744149,0.5447715757688213,M,F
74,TAG(48:3_FA18:1)+NH4,1.0068883007332616,0.9455899185432718,M,F
75,TAG(48:3_FA18:2)+NH4,1.0090477326864749,0.9189293206338484,M,F
76,TAG(48:4_FA18:2)+NH4,1.0813946654073299,0.2943615927677422,M,F
77,TAG(48:4_FA18:3)+NH4,1.0373138526251287,0.52106202583357,M,F
78,TAG(48:5_FA18:3)+NH4,1.0201391277586311,0.7733597374113718,M,F
79,TAG(49:1_FA17:0)+NH4,1.027409445947901,0.67644403712863,M,F
80,TAG(49:2_FA16:1)+NH4,0.9630173870300026,0.5827713601877287,M,F
81,TAG(49:2_FA18:2)+NH4,0.9625434812414337,0.5145614586271141,M,F
82,TAG(49:3_FA16:1)+NH4,1.004876925517915,0.9283806567924511,M,F
83,TAG(50:0_FA16:0)+NH4,0.9899944597029298,0.8652760230599007,M,F
84,TAG(50:1_FA16:0)+NH4,1.0760968339667474,0.18313753125136237,M,F
85,TAG(50:1_FA18:1)+NH4,1.1271093486955024,0.2642167143669776,M,F
86,TAG(50:2_FA14:0)+NH4,1.0597582248301882,0.33093026494995603,M,F
87,TAG(50:2_FA16:0)+NH4,0.9849967983106035,0.8172553589384669,M,F
